Day,Hour,Weekend,Weather,Temperature,Humidity,Cloudiness,Event,Holiday,Festival,Season,Offer,Footfall,CrowdDensity,Ratings,Cuisine,Traffic,Parking,ParkingDistance_m,NearbyAttractions,AirQuality_AQI,User_Max_Crowd,User_Noise_Tolerance,User_Preferred_Temp,User_Preferred_Humidity,User_Accessibility,User_Seating,Comfort
Tuesday,15,0,Cloudy,23.7,55.1,Sunny,0,1,0,Winter,0,36,Medium,4.6,FastFood,Medium,Limited,55.4,Office,95,25,Medium,28.8,64.3,No,Window,Moderate
Wednesday,15,0,Normal,29.4,53.3,Partly Cloudy,1,0,0,Summer,0,36,Medium,4.2,Italian,Low,Limited,68.6,Office,189,24,Low,26.2,37.1,No,Outdoor,Moderate
Tuesday,13,0,Hot,28.9,32.1,Overcast,0,1,1,Summer,0,32,Medium,4.1,Bakery,Medium,Available,120.1,Mall,131,21,Medium,25.2,52.2,Yes,Indoor,Moderate
Tuesday,10,0,Rainy,22.9,72.5,Cloudy,1,0,0,Summer,0,31,Medium,4.4,SouthIndian,Low,Available,123.9,Office,154,58,High,25.0,65.6,Yes,Indoor,Moderate
Saturday,8,1,Normal,21.6,64.3,Sunny,1,0,0,Summer,0,31,Medium,3.5,FastFood,Low,Limited,83.5,Park,57,30,High,27.8,65.3,Yes,Booth,Moderate
Friday,12,0,Normal,24.6,41.4,Cloudy,0,0,0,Winter,0,22,Medium,3.8,FastFood,Medium,Available,50.5,Mall,136,37,Medium,25.0,50.1,Yes,Booth,Moderate
Friday,21,0,Normal,34.2,73.6,Overcast,0,1,0,Summer,0,45,High,3.7,Bakery,Low,Limited,29.1,Park,108,21,High,25.7,65.7,No,Outdoor,Noisy
Wednesday,15,0,Normal,25.0,43.3,Overcast,0,0,0,Winter,0,27,Medium,4.2,FastFood,Medium,Available,25.6,Office,196,23,Medium,27.8,56.9,Yes,Booth,Moderate
Saturday,9,1,Normal,29.3,62.1,Overcast,0,0,0,Monsoon,0,25,Medium,3.7,FastFood,Medium,Full,145.4,None,165,57,Low,29.3,65.3,Yes,Indoor,Noisy
Friday,21,0,Cloudy,32.1,77.1,Overcast,0,0,0,Summer,0,42,High,4.5,Bakery,Low,Available,94.1,Office,55,54,High,26.5,38.2,No,Outdoor,Overloaded
Thursday,9,0,Normal,24.9,84.4,Overcast,0,0,0,Monsoon,0,22,Medium,4.3,Bakery,High,Available,150.4,School,176,42,High,24.1,62.6,Yes,Booth,Overloaded
Friday,14,0,Hot,25.0,70.3,Overcast,0,0,0,Winter,1,24,Medium,3.8,Chinese,High,Available,83.1,None,200,52,Low,24.6,46.3,Yes,Booth,Noisy
Thursday,15,0,Rainy,32.2,60.4,Sunny,0,0,0,Winter,1,37,Medium,4.2,SouthIndian,Low,Limited,126.9,Cinema,189,47,Medium,25.6,59.9,Yes,Indoor,Moderate
Wednesday,9,0,Normal,32.9,80.7,Cloudy,0,0,0,Winter,0,16,Low,4.5,Bakery,High,Available,82.2,None,159,48,High,26.7,50.2,No,Window,Noisy
Tuesday,17,0,Normal,34.6,80.4,Sunny,0,0,0,Summer,0,32,Medium,3.8,Cafe,Low,Full,112.8,Cinema,153,28,Low,29.2,55.4,Yes,Window,Overloaded
Tuesday,18,0,Normal,22.0,82.6,Overcast,0,0,0,Winter,0,37,Medium,4.6,SouthIndian,Low,Available,61.6,None,80,47,Medium,28.4,65.3,Yes,Indoor,Noisy
Friday,18,0,Normal,24.8,40.9,Partly Cloudy,1,0,0,Monsoon,0,45,High,4.2,Bakery,Low,Limited,177.5,Cinema,166,46,Medium,24.1,68.5,Yes,Window,Noisy
Thursday,8,0,Rainy,34.2,35.9,Partly Cloudy,1,0,0,Winter,0,27,Medium,4.3,Italian,Low,Available,103.4,Cinema,172,17,High,28.2,66.5,No,Booth,Moderate
Monday,10,0,Normal,23.0,37.7,Overcast,0,0,0,Winter,0,24,Medium,4.7,Bakery,Medium,Limited,160.0,Cinema,65,49,Low,29.2,60.0,Yes,Outdoor,Moderate
Sunday,10,1,Normal,24.7,45.5,Overcast,1,0,0,Summer,0,34,Medium,3.6,Bakery,Medium,Available,109.5,School,153,38,Medium,27.1,60.7,No,Outdoor,Moderate
Monday,20,0,Normal,34.5,78.5,Overcast,0,0,0,Winter,1,33,Medium,3.5,Chinese,Low,Available,71.2,Park,177,10,High,29.6,37.1,No,Indoor,Noisy
Sunday,17,1,Normal,34.5,75.8,Cloudy,0,0,0,Monsoon,1,35,Medium,4.9,Italian,Medium,Available,104.8,Office,110,14,Low,24.9,48.2,No,Booth,Noisy
Monday,12,0,Normal,24.4,41.0,Cloudy,0,0,0,Monsoon,0,24,Medium,3.6,SouthIndian,Low,Full,127.0,Cinema,153,55,Medium,23.9,39.9,Yes,Window,Comfortable
Tuesday,9,0,Rainy,30.4,70.8,Sunny,0,0,0,Summer,1,26,Medium,3.5,Chinese,Low,Available,169.3,Cinema,182,26,High,25.0,52.1,No,Indoor,Moderate
Saturday,11,1,Hot,27.4,50.1,Cloudy,0,0,0,Summer,0,25,Medium,3.7,Chinese,Low,Available,125.2,None,87,20,High,25.8,68.6,Yes,Indoor,Moderate
Tuesday,9,0,Rainy,28.6,35.4,Overcast,0,0,0,Monsoon,0,26,Medium,3.5,FastFood,Low,Available,80.9,Cinema,53,37,High,28.9,34.3,Yes,Outdoor,Comfortable
Sunday,16,1,Normal,23.6,51.3,Cloudy,0,0,1,Winter,0,45,High,4.7,Cafe,Low,Limited,143.7,Office,143,52,High,25.1,68.9,Yes,Indoor,Noisy
Saturday,20,1,Normal,25.6,74.7,Partly Cloudy,1,1,0,Monsoon,1,53,High,4.4,Italian,Low,Available,124.2,Park,50,18,High,29.4,37.6,No,Indoor,Noisy
Thursday,14,0,Rainy,32.2,48.4,Partly Cloudy,0,0,0,Summer,0,29,Medium,4.8,SouthIndian,Medium,Available,142.8,Park,146,11,Medium,26.8,56.6,Yes,Indoor,Moderate
Friday,17,0,Normal,25.9,77.3,Overcast,0,0,0,Summer,0,29,Medium,4.0,FastFood,High,Available,81.8,Office,188,23,Low,26.0,61.6,Yes,Outdoor,Overloaded
Monday,17,0,Hot,21.7,49.9,Cloudy,0,0,0,Monsoon,0,33,Medium,4.5,Italian,Medium,Full,159.7,Cinema,86,39,Medium,29.7,38.0,No,Outdoor,Noisy
Thursday,20,0,Rainy,28.5,45.6,Cloudy,0,0,0,Summer,1,41,High,4.9,Italian,Low,Limited,49.4,Park,71,13,High,22.5,39.0,Yes,Window,Overloaded
Thursday,17,0,Cloudy,28.9,47.6,Sunny,0,0,1,Monsoon,1,43,High,4.6,FastFood,Low,Full,69.7,School,93,42,Medium,23.7,54.4,No,Outdoor,Overloaded
Friday,11,0,Cloudy,28.2,81.1,Sunny,0,0,0,Monsoon,0,19,Low,4.3,Chinese,Low,Full,87.0,School,96,39,Low,24.2,34.0,Yes,Outdoor,Noisy
Thursday,20,0,Normal,30.2,58.2,Partly Cloudy,0,0,1,Monsoon,1,39,Medium,3.8,SouthIndian,Medium,Limited,57.3,School,107,44,High,22.6,51.6,No,Outdoor,Moderate
Friday,16,0,Rainy,28.3,82.0,Overcast,0,0,0,Winter,1,39,Medium,3.8,Bakery,Medium,Available,65.2,Cinema,139,20,Low,24.7,50.3,No,Outdoor,Noisy
Wednesday,14,0,Normal,34.3,65.0,Partly Cloudy,0,0,1,Winter,1,32,Medium,4.7,Chinese,Medium,Available,53.9,Office,133,16,High,25.0,68.8,No,Window,Moderate
Friday,15,0,Normal,26.9,86.7,Overcast,0,0,0,Winter,0,35,Medium,4.3,Chinese,Low,Limited,124.1,None,90,15,Medium,26.3,44.0,Yes,Booth,Noisy
Sunday,22,1,Overcast,30.6,34.3,Overcast,0,0,1,Monsoon,0,61,Very High,4.0,Bakery,Medium,Available,99.2,Mall,72,36,High,29.3,37.5,No,Indoor,Overloaded
Monday,15,0,Rainy,26.6,83.4,Overcast,0,0,0,Summer,0,31,Medium,4.8,FastFood,Medium,Available,14.6,Office,150,13,High,26.6,59.5,No,Indoor,Noisy
Saturday,12,1,Normal,24.4,60.0,Overcast,0,0,0,Monsoon,0,32,Medium,4.8,Bakery,Medium,Available,187.7,Park,143,20,High,29.4,59.1,No,Outdoor,Moderate
Saturday,21,1,Rainy,30.4,82.0,Cloudy,0,0,0,Summer,1,51,High,4.7,Chinese,Medium,Available,56.4,School,53,52,High,29.5,32.5,No,Booth,Overloaded
Monday,17,0,Cloudy,32.3,52.9,Overcast,0,0,0,Winter,0,29,Medium,4.2,Italian,High,Available,142.5,Park,135,52,High,29.3,49.1,No,Indoor,Noisy
Saturday,14,1,Normal,31.9,47.9,Cloudy,1,0,0,Monsoon,0,39,Medium,4.4,Italian,Medium,Limited,95.9,Cinema,188,52,Low,24.5,58.3,No,Indoor,Moderate
Friday,12,0,Normal,26.1,33.2,Overcast,0,0,0,Monsoon,0,27,Medium,4.8,Chinese,Medium,Limited,162.0,Park,164,11,Medium,22.7,60.6,No,Booth,Moderate
Sunday,17,1,Hot,27.5,81.3,Cloudy,0,0,0,Winter,0,33,Medium,4.4,Bakery,Medium,Full,83.9,Mall,76,50,High,24.7,67.6,No,Indoor,Overloaded
Wednesday,17,0,Hot,29.5,38.2,Cloudy,0,0,0,Monsoon,0,33,Medium,3.7,Cafe,Medium,Available,75.6,Cinema,117,52,High,28.1,30.8,No,Outdoor,Moderate
Sunday,8,1,Rainy,23.6,42.0,Partly Cloudy,0,0,0,Monsoon,1,33,Medium,4.3,Italian,Low,Available,82.4,Mall,153,50,High,26.8,68.1,Yes,Booth,Moderate
Saturday,17,1,Hot,29.9,54.6,Partly Cloudy,0,0,0,Monsoon,0,40,High,3.7,FastFood,High,Limited,103.3,None,195,26,High,24.6,49.3,Yes,Booth,Overloaded
Wednesday,19,0,Hot,30.7,64.2,Sunny,1,0,0,Winter,1,45,High,4.2,Bakery,Medium,Full,147.6,Office,88,16,Medium,29.5,45.4,Yes,Indoor,Overloaded
Monday,9,0,Rainy,31.8,84.4,Partly Cloudy,0,0,0,Summer,0,21,Medium,3.6,FastFood,High,Full,182.7,Mall,68,44,High,26.6,56.0,Yes,Window,Overloaded
Wednesday,20,0,Rainy,21.1,57.5,Partly Cloudy,0,0,0,Summer,0,43,High,4.3,SouthIndian,Medium,Available,27.0,Office,183,15,Low,25.2,46.9,Yes,Booth,Overloaded
Thursday,11,0,Rainy,34.9,49.0,Overcast,0,0,0,Monsoon,0,26,Medium,3.5,Bakery,Medium,Limited,58.4,None,94,25,Medium,28.8,55.2,No,Window,Moderate
Tuesday,18,0,Normal,27.2,72.9,Sunny,0,1,0,Summer,0,37,Medium,4.7,Cafe,Low,Full,53.4,None,68,33,Low,23.5,44.8,Yes,Booth,Noisy
Thursday,11,0,Normal,26.0,76.7,Partly Cloudy,0,0,0,Summer,1,23,Medium,3.9,Cafe,Low,Limited,79.7,Cinema,196,53,Medium,28.8,53.3,Yes,Indoor,Noisy
Monday,12,0,Normal,27.6,59.3,Partly Cloudy,0,0,1,Summer,0,30,Medium,4.7,Italian,Low,Available,199.4,Mall,85,54,High,23.9,30.3,Yes,Booth,Moderate
Saturday,18,1,Normal,33.8,67.9,Cloudy,0,1,0,Summer,0,41,High,4.1,Chinese,High,Available,100.9,Cinema,133,58,Medium,25.6,66.0,Yes,Indoor,Overloaded
Saturday,9,1,Normal,30.4,40.6,Sunny,1,0,0,Monsoon,1,29,Medium,4.0,Chinese,Medium,Available,42.0,Park,195,49,Low,29.8,51.5,Yes,Booth,Moderate
Wednesday,10,0,Cloudy,28.2,68.1,Sunny,1,0,0,Winter,0,26,Medium,4.8,FastFood,Medium,Available,172.2,Park,151,46,Medium,23.1,34.0,Yes,Booth,Moderate
Friday,11,0,Normal,31.9,30.3,Sunny,0,1,0,Winter,1,33,Medium,3.7,SouthIndian,Low,Available,132.6,None,166,42,Medium,24.9,56.2,No,Outdoor,Moderate
Sunday,10,1,Normal,25.4,46.4,Cloudy,0,0,0,Winter,0,28,Medium,3.9,FastFood,Medium,Full,123.8,Cinema,60,48,Low,27.7,40.7,No,Booth,Noisy
Tuesday,16,0,Normal,33.4,75.7,Sunny,0,0,0,Monsoon,0,31,Medium,4.3,SouthIndian,Low,Limited,163.9,None,192,42,High,29.9,60.8,Yes,Window,Noisy
Friday,9,0,Normal,28.1,40.1,Sunny,1,0,0,Monsoon,0,28,Medium,3.9,Italian,Medium,Limited,170.7,None,186,59,Medium,24.1,54.8,Yes,Outdoor,Moderate
Monday,10,0,Hot,29.6,75.9,Cloudy,0,0,0,Summer,0,27,Medium,4.3,Bakery,Medium,Full,196.0,Office,118,47,Medium,25.1,48.7,No,Window,Overloaded
Sunday,8,1,Normal,21.3,59.4,Sunny,0,0,0,Winter,0,24,Medium,4.4,Bakery,Medium,Available,79.3,Mall,110,38,Low,29.5,47.8,Yes,Indoor,Moderate
Saturday,14,1,Hot,31.5,75.8,Sunny,0,0,0,Monsoon,1,29,Medium,4.0,Italian,Low,Limited,154.5,Cinema,160,19,High,24.3,46.4,Yes,Indoor,Noisy
Wednesday,15,0,Hot,29.9,35.3,Overcast,1,0,0,Summer,0,36,Medium,4.4,SouthIndian,Low,Full,27.1,Office,188,17,High,30.0,48.4,No,Window,Noisy
Sunday,19,1,Cloudy,25.3,66.9,Partly Cloudy,0,0,0,Winter,0,40,High,4.3,Chinese,Medium,Available,184.0,Cinema,123,15,Low,29.6,50.1,Yes,Outdoor,Noisy
Saturday,17,1,Normal,29.7,68.0,Sunny,0,0,0,Monsoon,0,38,Medium,4.8,Italian,Low,Limited,27.6,Office,189,38,Low,27.2,34.4,No,Booth,Moderate
Friday,15,0,Normal,20.7,54.2,Cloudy,0,0,0,Summer,0,28,Medium,4.4,Cafe,Medium,Limited,142.1,Office,54,11,Low,26.7,68.8,No,Outdoor,Moderate
Friday,12,0,Hot,34.8,87.9,Overcast,0,0,0,Winter,1,22,Medium,4.9,Bakery,Low,Available,19.5,Office,90,56,Low,24.0,46.8,No,Outdoor,Noisy
Tuesday,8,0,Normal,30.2,53.0,Partly Cloudy,0,0,0,Winter,0,25,Medium,5.0,Chinese,Low,Limited,25.1,Mall,82,44,Low,29.2,64.1,Yes,Window,Moderate
Tuesday,11,0,Normal,26.0,32.3,Partly Cloudy,0,0,0,Monsoon,0,24,Medium,4.5,Cafe,Low,Available,187.1,Cinema,59,42,Medium,29.5,55.7,No,Booth,Moderate
Wednesday,12,0,Normal,31.3,42.0,Overcast,0,0,0,Summer,0,28,Medium,3.5,Chinese,Low,Available,96.1,Cinema,134,50,High,28.5,51.6,Yes,Indoor,Moderate
Sunday,19,1,Hot,34.5,52.4,Cloudy,0,0,0,Winter,1,45,High,4.1,Bakery,Low,Limited,65.7,Cinema,58,47,Medium,24.4,42.0,No,Booth,Noisy
Tuesday,12,0,Hot,26.5,30.8,Partly Cloudy,0,0,1,Monsoon,1,26,Medium,3.8,Cafe,Medium,Available,173.1,Mall,108,28,Medium,24.5,56.4,Yes,Booth,Moderate
Friday,19,0,Hot,20.2,49.3,Partly Cloudy,0,0,0,Summer,0,36,Medium,4.8,FastFood,Low,Available,62.9,Office,188,52,High,24.5,37.1,No,Outdoor,Moderate
Sunday,21,1,Normal,23.9,80.0,Partly Cloudy,0,0,0,Winter,0,46,High,3.6,SouthIndian,Low,Available,184.0,Cinema,160,42,High,27.7,57.0,No,Outdoor,Overloaded
Friday,15,0,Normal,27.7,41.4,Sunny,0,0,0,Monsoon,0,26,Medium,3.8,SouthIndian,Medium,Full,53.5,Cinema,114,11,High,22.4,69.6,Yes,Indoor,Noisy
Monday,9,0,Normal,27.8,70.6,Sunny,1,0,0,Winter,0,30,Medium,4.7,Bakery,Medium,Available,69.2,Mall,179,14,High,26.5,62.9,Yes,Outdoor,Moderate
Friday,18,0,Rainy,28.7,67.6,Overcast,0,0,0,Summer,0,36,Medium,4.0,Bakery,Medium,Full,108.9,School,124,44,Low,23.8,36.0,No,Outdoor,Overloaded
Wednesday,11,0,Normal,28.6,44.9,Overcast,0,0,0,Monsoon,0,29,Medium,4.6,Chinese,Low,Available,54.0,Cinema,83,35,Medium,28.2,45.6,No,Booth,Comfortable
Thursday,22,0,Normal,26.7,71.6,Cloudy,0,0,0,Monsoon,0,44,High,4.9,Cafe,High,Available,27.5,Cinema,126,26,Low,23.8,44.7,Yes,Indoor,Overloaded
Monday,12,0,Normal,25.9,50.7,Cloudy,1,0,0,Winter,0,36,Medium,3.6,FastFood,High,Available,19.9,Mall,136,29,Medium,29.7,68.1,Yes,Indoor,Noisy
Monday,20,0,Hot,31.6,37.7,Overcast,0,0,0,Summer,1,42,High,4.2,Bakery,Low,Available,134.4,School,181,44,Low,27.4,46.0,No,Window,Noisy
Wednesday,20,0,Normal,28.8,53.0,Cloudy,0,0,0,Monsoon,0,41,High,4.7,Bakery,Medium,Available,159.0,School,191,18,High,22.1,45.4,Yes,Window,Noisy
Sunday,18,1,Rainy,27.5,65.3,Partly Cloudy,0,0,0,Summer,0,46,High,4.3,FastFood,Low,Available,191.2,School,66,20,Low,26.3,36.8,Yes,Indoor,Overloaded
Sunday,17,1,Normal,25.2,40.0,Partly Cloudy,0,0,0,Summer,0,39,Medium,4.4,SouthIndian,Low,Limited,188.9,Cinema,71,58,High,27.5,64.8,Yes,Booth,Moderate
Wednesday,18,0,Hot,20.4,79.4,Cloudy,0,0,1,Winter,0,39,Medium,4.8,Italian,Low,Limited,43.4,Office,122,17,Medium,23.0,53.0,Yes,Window,Noisy
Tuesday,20,0,Normal,21.6,47.9,Cloudy,0,0,0,Summer,0,39,Medium,4.7,FastFood,Medium,Available,114.1,Office,138,38,Low,29.5,33.8,No,Outdoor,Moderate
Monday,22,0,Hot,26.2,47.4,Overcast,0,0,0,Winter,0,45,High,4.0,Cafe,Medium,Available,189.0,Mall,165,32,Low,28.6,42.9,Yes,Outdoor,Noisy
Tuesday,11,0,Normal,34.4,73.7,Overcast,1,0,0,Summer,0,27,Medium,3.6,SouthIndian,Medium,Available,180.0,Park,189,43,Medium,29.4,38.2,Yes,Indoor,Moderate
Friday,14,0,Cloudy,21.7,65.8,Cloudy,1,0,0,Winter,1,35,Medium,4.1,Italian,Medium,Available,54.9,Park,179,42,Medium,23.1,54.7,No,Booth,Moderate
Monday,9,0,Overcast,34.1,50.3,Partly Cloudy,0,0,0,Winter,1,26,Medium,4.6,SouthIndian,High,Full,163.5,Office,167,57,Medium,23.0,53.7,Yes,Window,Overloaded
Monday,16,0,Normal,22.1,83.3,Sunny,0,0,0,Monsoon,0,33,Medium,4.9,Italian,Low,Limited,47.1,Office,59,24,High,24.9,65.6,Yes,Window,Noisy
Saturday,11,1,Normal,24.7,89.7,Cloudy,0,0,0,Winter,0,25,Medium,4.8,Italian,Low,Limited,145.4,Office,162,46,Medium,26.4,36.5,No,Window,Noisy
Thursday,18,0,Normal,26.8,50.6,Overcast,0,0,0,Monsoon,0,38,Medium,4.2,Chinese,Low,Available,22.8,None,73,38,Low,22.7,43.0,No,Indoor,Moderate
Sunday,10,1,Rainy,23.1,84.1,Overcast,1,0,0,Winter,0,36,Medium,3.7,SouthIndian,Low,Available,29.3,None,141,42,Medium,29.5,54.1,Yes,Outdoor,Noisy
Monday,22,0,Overcast,27.2,51.6,Cloudy,0,1,0,Summer,1,49,High,4.6,Chinese,Low,Full,165.3,Mall,95,33,Medium,24.2,56.8,No,Booth,Overloaded
Sunday,12,1,Hot,27.1,41.3,Overcast,0,1,0,Monsoon,0,36,Medium,3.7,SouthIndian,Low,Available,44.0,Cinema,110,38,Medium,23.3,55.1,No,Outdoor,Moderate
Friday,21,0,Hot,26.6,86.9,Partly Cloudy,0,0,0,Summer,0,43,High,4.2,SouthIndian,Low,Available,33.6,Office,189,10,Medium,24.9,30.4,Yes,Booth,Overloaded
Sunday,10,1,Normal,30.5,85.1,Overcast,1,0,0,Summer,0,35,Medium,3.8,FastFood,High,Limited,97.9,Cinema,152,44,High,29.8,47.8,Yes,Booth,Overloaded
Tuesday,9,0,Normal,24.8,54.2,Sunny,0,1,0,Summer,1,25,Medium,4.0,Bakery,Low,Limited,154.6,Park,164,21,Low,24.2,41.9,Yes,Booth,Moderate
Tuesday,8,0,Rainy,24.5,43.7,Sunny,0,0,0,Summer,0,30,Medium,4.2,Chinese,Low,Available,147.4,Mall,149,13,High,29.2,35.5,No,Window,Moderate
Saturday,10,1,Cloudy,32.2,73.6,Partly Cloudy,0,0,0,Monsoon,0,33,Medium,4.7,Bakery,Low,Limited,39.0,Park,172,11,High,25.5,64.5,Yes,Booth,Moderate
Thursday,20,0,Rainy,21.7,37.9,Overcast,0,1,0,Summer,0,51,High,4.8,Italian,High,Limited,187.1,None,100,26,Low,29.2,30.9,Yes,Booth,Overloaded
Friday,12,0,Normal,32.7,74.0,Overcast,0,1,0,Winter,0,33,Medium,3.8,Bakery,Low,Limited,56.7,None,188,44,Medium,28.4,40.7,Yes,Indoor,Moderate
Tuesday,17,0,Hot,29.7,65.4,Cloudy,0,0,0,Winter,0,34,Medium,4.9,SouthIndian,Medium,Available,11.7,Cinema,97,12,Medium,24.1,49.0,No,Booth,Moderate
Wednesday,19,0,Cloudy,30.2,40.1,Sunny,1,0,1,Summer,0,49,High,3.5,Chinese,Low,Available,172.5,Mall,56,36,Medium,28.8,60.6,No,Outdoor,Noisy
Friday,21,0,Normal,22.5,52.0,Cloudy,0,0,0,Summer,0,34,Medium,4.7,SouthIndian,Low,Full,155.6,None,165,40,High,27.2,46.5,No,Window,Noisy
Sunday,17,1,Hot,34.8,69.0,Cloudy,0,0,0,Winter,0,38,Medium,3.8,Bakery,Medium,Limited,107.5,School,120,30,Low,27.4,53.6,Yes,Window,Moderate
Friday,22,0,Normal,23.7,32.2,Overcast,0,1,0,Winter,0,51,High,4.4,Cafe,Medium,Available,13.9,Park,147,40,Low,22.4,69.9,Yes,Outdoor,Noisy
Thursday,12,0,Cloudy,22.6,82.6,Sunny,0,0,0,Winter,0,28,Medium,4.1,FastFood,Low,Available,105.9,Office,69,52,Low,26.0,32.5,Yes,Indoor,Noisy
Tuesday,15,0,Normal,22.4,45.3,Cloudy,1,0,0,Summer,0,30,Medium,4.5,Italian,Low,Available,20.8,None,66,15,High,27.1,47.5,Yes,Window,Moderate
Friday,9,0,Normal,28.4,62.1,Overcast,0,0,0,Winter,0,18,Low,3.5,Cafe,Low,Full,35.6,School,168,21,High,23.3,54.7,Yes,Booth,Moderate
Sunday,15,1,Cloudy,34.4,32.9,Partly Cloudy,0,0,0,Monsoon,1,33,Medium,4.2,SouthIndian,Low,Full,19.2,School,176,22,High,27.2,49.4,Yes,Indoor,Noisy
Saturday,19,1,Normal,23.5,89.7,Sunny,0,1,0,Summer,0,48,High,4.1,SouthIndian,Low,Available,39.6,Mall,186,34,High,28.5,52.5,No,Booth,Overloaded
Saturday,12,1,Normal,26.1,69.7,Overcast,1,0,0,Winter,0,38,Medium,4.1,Bakery,Medium,Limited,35.1,Mall,176,46,Low,22.2,52.1,Yes,Window,Moderate
Tuesday,19,0,Normal,22.8,69.2,Partly Cloudy,0,0,0,Winter,0,32,Medium,3.7,Italian,Low,Available,173.7,Mall,148,15,Medium,26.2,53.8,Yes,Window,Moderate
Saturday,14,1,Normal,29.6,31.2,Cloudy,0,1,0,Summer,1,42,High,4.6,SouthIndian,Low,Available,168.5,Mall,188,29,Low,28.4,42.3,Yes,Indoor,Noisy
Wednesday,12,0,Normal,26.5,71.4,Cloudy,1,1,0,Monsoon,0,35,Medium,4.3,Italian,High,Available,119.0,None,88,48,High,29.0,57.2,Yes,Booth,Noisy
Thursday,16,0,Rainy,20.4,55.0,Cloudy,0,0,0,Winter,0,35,Medium,3.7,Cafe,Medium,Limited,63.1,None,197,35,High,28.6,40.2,Yes,Indoor,Moderate
Saturday,16,1,Normal,29.2,52.8,Partly Cloudy,0,1,0,Winter,1,37,Medium,3.7,FastFood,Low,Limited,56.7,Mall,161,15,High,23.8,44.1,Yes,Indoor,Moderate
Saturday,15,1,Overcast,23.0,62.8,Partly Cloudy,0,0,0,Monsoon,0,45,High,4.4,Italian,Medium,Available,43.3,None,179,58,Medium,25.6,54.7,No,Booth,Noisy
Wednesday,15,0,Normal,28.9,58.5,Cloudy,0,0,0,Summer,1,26,Medium,4.9,FastFood,Low,Available,30.9,Mall,177,51,Low,25.6,52.8,Yes,Outdoor,Moderate
Thursday,9,0,Normal,25.8,39.2,Cloudy,0,0,0,Summer,0,25,Medium,4.0,Bakery,Low,Available,57.2,Mall,89,52,Medium,26.6,46.2,No,Outdoor,Moderate
Friday,17,0,Cloudy,30.6,71.7,Partly Cloudy,0,0,0,Winter,1,30,Medium,4.0,Italian,Medium,Available,131.6,School,83,15,Medium,25.2,33.0,Yes,Window,Moderate
Thursday,8,0,Hot,23.1,67.8,Overcast,0,0,0,Summer,0,17,Low,4.9,Chinese,Medium,Limited,153.4,Office,131,20,Low,24.6,50.4,Yes,Outdoor,Calm
Monday,22,0,Rainy,31.3,48.1,Sunny,0,0,0,Monsoon,0,41,High,3.9,Italian,Low,Limited,22.7,None,182,42,Low,23.5,62.1,Yes,Indoor,Overloaded
Tuesday,14,0,Hot,32.1,69.7,Cloudy,0,0,1,Summer,1,38,Medium,3.6,FastFood,Low,Limited,81.7,None,197,41,Low,25.7,62.1,No,Outdoor,Moderate
Tuesday,19,0,Normal,20.9,69.7,Partly Cloudy,0,0,0,Winter,1,36,Medium,3.5,Italian,High,Available,10.1,Cinema,100,53,High,22.9,63.9,No,Window,Noisy
Monday,13,0,Normal,21.5,46.2,Overcast,0,0,0,Summer,0,28,Medium,4.1,FastFood,Medium,Available,97.5,Mall,176,47,Medium,29.3,34.5,Yes,Outdoor,Moderate
Wednesday,17,0,Hot,33.1,66.3,Overcast,0,0,0,Winter,0,35,Medium,4.6,FastFood,Low,Limited,161.8,Mall,59,27,Medium,27.2,48.5,No,Booth,Moderate
Monday,12,0,Rainy,22.8,38.2,Overcast,0,0,0,Monsoon,1,29,Medium,4.7,Chinese,Low,Limited,138.7,None,186,60,High,22.4,41.6,No,Window,Comfortable
Friday,8,0,Normal,24.9,79.8,Cloudy,0,1,0,Monsoon,0,23,Medium,4.3,Bakery,Low,Limited,85.1,Office,131,20,High,28.1,48.3,No,Window,Noisy
Friday,9,0,Hot,26.9,36.3,Partly Cloudy,0,0,0,Winter,1,19,Low,3.6,Cafe,Low,Available,112.9,Park,184,48,Low,27.6,67.7,No,Window,Calm
Tuesday,11,0,Normal,23.9,73.1,Sunny,0,0,0,Summer,0,21,Medium,4.7,Cafe,Low,Limited,86.7,Mall,50,52,Medium,28.5,43.7,Yes,Indoor,Moderate
Friday,18,0,Normal,32.9,37.1,Partly Cloudy,0,0,0,Monsoon,0,39,Medium,4.8,Bakery,Medium,Limited,109.8,Park,152,37,Low,28.5,45.9,No,Booth,Moderate
Tuesday,21,0,Normal,27.9,36.8,Partly Cloudy,0,0,0,Summer,1,41,High,3.9,FastFood,Low,Available,192.8,Cinema,97,45,High,29.5,53.3,No,Outdoor,Noisy
Monday,21,0,Normal,29.6,36.4,Overcast,0,0,0,Summer,1,37,Medium,3.6,Bakery,High,Limited,189.2,None,110,42,Medium,22.5,62.3,No,Outdoor,Noisy
Monday,17,0,Hot,29.0,41.9,Sunny,0,1,0,Winter,0,43,High,3.6,SouthIndian,Low,Limited,77.2,School,144,19,High,29.4,34.3,Yes,Window,Noisy
Saturday,17,1,Rainy,29.2,42.0,Cloudy,1,0,0,Summer,0,45,High,4.2,SouthIndian,High,Available,125.0,Mall,63,39,High,24.9,45.2,No,Window,Overloaded
Saturday,8,1,Hot,28.8,45.8,Cloudy,0,0,0,Winter,1,23,Medium,3.9,FastFood,Medium,Available,146.5,None,118,56,Medium,27.2,61.1,Yes,Booth,Moderate
